armor_type	str_mod	cr	dex_mod	damage_resistances	wis	vulnerabilities	wis_save	hp_average	name	passive_perception	actions	legnedary_actions	launguages	xp	size	cha_save	armor_class	dex_save	con_mod	senses	skills	con_save	speed	str	damage_immunities	wis_mod	reactions	int_mod	condition_immunities	cha	cha_mod	dex	con	int_save	alignment	int	type	hp_source	str_save	special_abilties
Natural Armor	+5	10	-1		15		+6	135	Aboleth	20	"[{""Name"":""Multiattack"";""Desc"":""The aboleth makes three tentacle attacks.""};{""Name"":""Tentacle"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""9"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d6 + 5"";""Damage Type"":""bludgeoning"";""Desc"":""If the target is a creature; it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute; the diseased creature's skin becomes translucent and slimy; the creature can't regain hit points unless it is underwater; and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water; it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""9"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""3d6 + 5"";""Damage Type"":""bludgeoning""};{""Name"":""Enslave (3/day)"";""Desc"":""The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions; and the aboleth and the target can communicate telepathically with each other over any distance.<br>Whenever the charmed target takes damage; the target can repeat the saving throw. On a success; the effect ends. No more than once every 24 hours; the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.""}]"	"[{""Name"":""Detect"";""Desc"":""The aboleth makes a Wisdom (Perception) check.""};{""Name"":""Tail Swipe"";""Desc"":""The aboleth makes one tail attack.""};{""Name"":""Psychic Drain (Costs 2 Actions)"";""Desc"":""One creature charmed by the aboleth takes 10 (3d6) psychic damage; and the aboleth regains hit points equal to the damage the creature takes.""}]"	Deep Speech; Telepathy 120 Ft.	5900	Large		17		+2	Darkvision 120 Ft.	History +12; Perception +10	+6	10 ft.; swim 40 ft.	21		+2		+4		18	+4	9	15	+8	Lawful Evil	18	aberration	18d10+36		"[{""Name"":""Amphibious"";""Desc"":""The aboleth can breathe air and water.""};{""Name"":""Mucous Cloud"";""Desc"":""While underwater; the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure; the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater.""};{""Name"":""Probing Telepathy"";""Desc"":""If a creature communicates telepathically with the aboleth; the aboleth learns the creature's greatest desires if the aboleth can see the creature.""}]"
	+0	1/4	+0		14			9	Acolyte	12	"[{""Name"":""Club"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""bludgeoning""}]"		Any One Language (Usually Common)	50	Medium		10		+0		Medicine +4; Religion +2		30 ft.	10		+2		+0		11	+0	10	10		Any Alignment	10	humanoid (any race)	2d8		"[{""Name"":""Spellcasting"";""Desc"":""The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12; +4 to hit with spell attacks). The acolyte has following cleric spells prepared: <br><br> Cantrips (at will): light; sacred flame; thaumaturgy<br> 1st level (3 slots): bless; cure wounds; sanctuary""}]"
Natural Armor	+6	14	+2		13		+6	195	Adult Black Dragon	21	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 6"";""Damage Type"":""piercing"";""Damage 2"":""1d8"";""Damage 2 Type"":""acid""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 6"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 6"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Acid Breath (Recharge 5-6)"";""Desc"":""The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw; taking 54 (12d8) acid damage on a failed save; or half as much damage on a successful one.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	11500	Huge	+8	19	+7	+5	Blindsight 60 Ft.; Darkvision 120 Ft.	Perception +11; Stealth +7	+10	40 ft.; fly 80 ft.; swim 40 ft.	23	Acid	+1		+2		17	+3	14	21		Chaotic Evil	14	dragon	17d12+85		"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""};{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
	+7	16	+0		15		+7	225	Adult Blue Dragon	22	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 7"";""Damage Type"":""piercing"";""Damage 2"":""1d10"";""Damage 2 Type"":""lightning""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 7"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 7"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Lightning Breath (Recharge 5-6)"";""Desc"":""The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw; taking 66 (12d10) lightning damage on a failed save; or half as much damage on a successful one.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	15000	Huge	+9	19	+5	+6	Blindsight 60 Ft.; Darkvision 120 Ft.	Perception +12; Stealth +5	+11	40 ft.; burrow 30 ft.; fly 80 ft.	25	Lightning	+2		+3		19	+4	10	23		Lawful Evil	16	dragon	18d12+108		"[{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+6	13	+0		13		+6	172	Adult Brass Dragon	21	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 6"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 6"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 6"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw; taking 45 (13d6) fire damage on a failed save; or half as much damage on a successful one.<br>Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	10000	Huge	+8	18	+5	+5	Blindsight 60 Ft.; Darkvision 120 Ft.	History +7; Perception +11; Persuasion +8; Stealth +5	+10	40 ft.; burrow 40 ft.; fly 80 ft.	23	Fire	+1		+2		17	+3	10	21		Chaotic Good	14	dragon	15d12+75		"[{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+7	15	+0		15		+7	212	Adult Bronze Dragon	22	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 7"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 7"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""12"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 7"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw; taking 66 (12d10) lightning damage on a failed save; or half as much damage on a successful one.<br>Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save; the creature is pushed 60 feet away from the dragon.""};{""Name"":""Change Shape"";""Desc"":""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own; or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form; the dragon retains its alignment; hit points; Hit Dice; ability to speak; proficiencies; Legendary Resistance; lair actions; and Intelligence; Wisdom; and Charisma scores; as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form; except any class features or legendary actions of that form.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	13000	Huge	+9	19	+5	+6	Blindsight 60 Ft.; Darkvision 120 Ft.	Insight +7; Perception +12; Stealth +5	+11	40 ft.; fly 80 ft.; swim 40 ft.	25	Lightning	+2		+3		19	+4	10	23		Lawful Good	16	dragon	17d12+102		"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""};{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+6	14	+1		15		+7	184	Adult Copper Dragon	22	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 6"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 6"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 6"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw; taking 54 (12d8) acid damage on a failed save; or half as much damage on a successful one.<br>Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save; the creature can't use reactions; its speed is halved; and it can't make more than one attack on its turn. In addition; the creature can use either an action or a bonus action on its turn; but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns; ending the effect on itself with a successful save.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	11500	Huge	+8	18	+6	+5	Blindsight 60 Ft.; Darkvision 120 Ft.	Deception +8; Perception +12; Stealth +6	+10	40 ft.; climb 40 ft.; fly 80 ft.	23	Acid	+2		+4		17	+3	12	21		Chaotic Good	18	dragon	16d12+80		"[{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+8	17	+2		15		+8	256	Adult Gold Dragon	24	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 8"";""Damage Type"":""piercing""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 8"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 8"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Breath Weapons (Recharge 5-6)"";""Desc"":""The dragon uses one of the following breath weapons.<br>Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw; taking 66 (12d10) fire damage on a failed save; or half as much damage on a successful one.<br>Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls; Strength checks; and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success.""};{""Name"":""Change Shape"";""Desc"":""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own; or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form; the dragon retains its alignment; hit points; Hit Dice; ability to speak; proficiencies; Legendary Resistance; lair actions; and Intelligence; Wisdom; and Charisma scores; as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form; except any class features or legendary actions of that form.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	18000	Huge	+13	19	+8	+7	Blindsight 60 Ft.; Darkvision 120 Ft.	Insight +8; Perception +14; Persuasion +13; Stealth +8	+13	40 ft.; fly 80 ft.; swim 40 ft.	27	Fire	+2		+3		24	+7	14	25		Lawful Good	16	dragon	19d12+133		"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""};{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+6	15	+1		15		+7	207	Adult Green Dragon	22	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 6"";""Damage Type"":""piercing"";""Damage 2"":""2d6"";""Damage 2 Type"":""poison""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 6"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""11"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 6"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Poison Breath (Recharge 5-6)"";""Desc"":""The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw; taking 56 (16d6) poison damage on a failed save; or half as much damage on a successful one.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	13000	Huge	+8	19	+6	+5	Blindsight 60 Ft.; Darkvision 120 Ft.	Deception +8; Insight +7; Perception +12; Persuasion +8; Stealth +6	+10	40 ft.; fly 80 ft.; swim 40 ft.	23	Poison	+2		+4	Poisoned	17	+3	12	21		Lawful Evil	18	dragon	18d12+90		"[{""Name"":""Amphibious"";""Desc"":""The dragon can breathe air and water.""};{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
Natural Armor	+8	17	+0		13		+7	256	Adult Red Dragon	23	"[{""Name"":""Multiattack"";""Desc"":""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""};{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""10 ft."";""Target"":""one target"";""Damage"":""2d10 + 8"";""Damage Type"":""piercing"";""Damage 2"":""2d6"";""Damage 2 Type"":""fire""};{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""2d6 + 8"";""Damage Type"":""slashing""};{""Name"":""Tail"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""14"";""Reach"":""15 ft."";""Target"":""one target"";""Damage"":""2d8 + 8"";""Damage Type"":""bludgeoning""};{""Name"":""Frightful Presence"";""Desc"":""Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns; ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it; the creature is immune to the dragon's Frightful Presence for the next 24 hours.""};{""Name"":""Fire Breath (Recharge 5-6)"";""Desc"":""The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw; taking 63 (18d6) fire damage on a failed save; or half as much damage on a successful one.""}]"	"[{""Name"":""Detect"";""Desc"":""The dragon makes a Wisdom (Perception) check.""};{""Name"":""Tail Attack"";""Desc"":""The dragon makes a tail attack.""};{""Name"":""Wing Attack (Costs 2 Actions)"";""Desc"":""The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.""}]"	Common; Draconic	18000	Huge	+11	19	+6	+7	Blindsight 60 Ft.; Darkvision 120 Ft.	Perception +13; Stealth +6	+13	40 ft.; climb 40 ft.; fly 80 ft.	27	Fire	+1		+3		21	+5	10	25		Chaotic Evil	16	dragon	19d12+133		"[{""Name"":""Legendary Resistance (3/Day)"";""Desc"":""If the dragon fails a saving throw; it can choose to succeed instead.""}]"
