Name,Tags/Lair,Environment,Source,Page,Reference,SRD,armor_type,str_mod,cr,dex_mod,damage_resistances,wis,vulnerabilities,wis_save,hp_average,passive_perception,actions,legnedary_actions,launguages,xp,size,cha_save,armor_class,dex_save,con_mod,senses,skills,con_save,speed,str,damage_immunities,wis_mod,reactions,int_mod,condition_immunities,cha,cha_mod,dex,con,int_save,alignment,int,type,hp_source,str_save,special_abilties
Awakened Shrub,,Forest,MM,317.0,MM317,,,-4.0,0,-1.0,Piercing,10.0,Fire,,10.0,10.0,"[{""Name"":""Rake"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""1"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 - 1"";""Damage Type"":""slashing""}]",,One Language Known By Its Creator,10.0,Small,,9.0,,0.0,,,,20 ft.,3.0,,0.0,,0.0,,6.0,-2.0,8.0,11.0,,Unaligned,10.0,plant,3d6,,"[{""Name"":""False Appearance"";""Desc"":""While the shrub remains motionless; it is indistinguishable from a normal shrub.""}]"
Baboon,,Forest; Hills,MM,318.0,MM318,,,-1.0,0,2.0,,12.0,,,3.0,11.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""1"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 - 1"";""Damage Type"":""piercing""}]",,,10.0,Small,,12.0,,0.0,,,,30 ft.; climb 30 ft.,8.0,,1.0,,-3.0,,6.0,-2.0,14.0,11.0,,Unaligned,4.0,beast,1d6,,"[{""Name"":""Pack Tactics"";""Desc"":""The baboon has advantage on an attack roll against a creature if at least one of the baboon's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Badger,,Forest,MM,318.0,MM318,,,-3.0,0,0.0,,12.0,,,3.0,11.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,10.0,,1.0,Darkvision 30 Ft.,,,20 ft.; burrow 5 ft.,4.0,,1.0,,-4.0,,5.0,-3.0,11.0,12.0,,Unaligned,2.0,beast,1d4+1,,"[{""Name"":""Keen Smell"";""Desc"":""The badger has advantage on Wisdom (Perception) checks that rely on smell.""}]"
Bat,,Hills; Mountain; Underdark; Urban,MM,318.0,MM318,,,-4.0,0,2.0,,12.0,,,1.0,11.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing""}]",,,10.0,Tiny,,12.0,,-1.0,Blindsight 60 Ft.,,,5 ft.; fly 30 ft.,2.0,,1.0,,-4.0,,4.0,-3.0,15.0,8.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Echolocation"";""Desc"":""The bat can't use its blindsight while deafened.""};{""Name"":""Keen Hearing"";""Desc"":""The bat has advantage on Wisdom (Perception) checks that rely on hearing.""}]"
Cat,,Desert; Forest; Grassland; Urban,MM,320.0,MM320,,,-4.0,0,2.0,,12.0,,,2.0,13.0,"[{""Name"":""Claws"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""slashing""}]",,,10.0,Tiny,,12.0,,0.0,,Perception +3; Stealth +4,,40 ft.; climb 30 ft.,3.0,,1.0,,-4.0,,7.0,-2.0,15.0,10.0,,Unaligned,3.0,beast,1d4,,"[{""Name"":""Keen Smell"";""Desc"":""The cat has advantage on Wisdom (Perception) checks that rely on smell.""}]"
Crab,,Coastal,MM,320.0,MM320,,Natural Armor,-4.0,0,0.0,,8.0,,,2.0,9.0,"[{""Name"":""Claw"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""0"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""bludgeoning""}]",,,10.0,Tiny,,11.0,,0.0,Blindsight 30 Ft.,Stealth +2,,20 ft.; swim 20 ft.,2.0,,-1.0,,-5.0,,2.0,-4.0,11.0,10.0,,Unaligned,1.0,beast,1d4,,"[{""Name"":""Amphibious"";""Desc"":""The crab can breathe air and water.""}]"
Crawling Claw,,Any,MM,44.0,MM44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer,,Forest; Grassland,MM,321.0,MM321,,,0.0,0,3.0,,14.0,,,4.0,12.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4"";""Damage Type"":""piercing""}]",,,10.0,Medium,,13.0,,0.0,,,,50 ft.,11.0,,2.0,,-4.0,,5.0,-3.0,16.0,11.0,,Unaligned,2.0,beast,1d8,,
Eagle,,Coastal; Grassland; Hills; Mountain,MM,322.0,MM322,,,-2.0,0,2.0,,14.0,,,3.0,14.0,"[{""Name"":""Talons"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 2"";""Damage Type"":""slashing""}]",,,10.0,Small,,12.0,,0.0,,Perception +4,,10 ft.; fly 60 ft.,6.0,,2.0,,-4.0,,7.0,-2.0,15.0,10.0,,Unaligned,2.0,beast,1d6,,"[{""Name"":""Keen Sight"";""Desc"":""The eagle has advantage on Wisdom (Perception) checks that rely on sight.""}]"
Frog,,Forest; Swamp,MM,322.0,MM322,,,-5.0,0,1.0,,8.0,,,1.0,11.0,,,,10.0,Tiny,,11.0,,-1.0,Darkvision 30 Ft.,Perception +1; Stealth +3,,20 ft.; swim 20 ft.,1.0,,-1.0,,-5.0,,3.0,-4.0,13.0,8.0,,Unaligned,1.0,beast,1d4-1,,"[{""Name"":""Amphibious"";""Desc"":""The frog can breathe air and water""};{""Name"":""Standing Leap"";""Desc"":""The frog's long jump is up to 10 ft. and its high jump is up to 5 ft.; with or without a running start.""}]"
Giant Fire Beetle,,Underdark,MM,325.0,MM325,,Natural Armor,-1.0,0,0.0,,7.0,,,4.0,8.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""1"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6 - 1"";""Damage Type"":""slashing""}]",,,10.0,Small,,13.0,,1.0,Blindsight 30 Ft.,,,30 ft.,8.0,,-2.0,,-5.0,,3.0,-4.0,10.0,12.0,,Unaligned,1.0,beast,1d6+1,,"[{""Name"":""Illumination"";""Desc"":""The beetle sheds bright light in a 10-foot radius and dim light for an additional 10 ft..""}]"
Goat,,Forest; Hills; Mountain; Urban,MM,330.0,MM330,,,1.0,0,0.0,,10.0,,,4.0,10.0,"[{""Name"":""Ram"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""3"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 + 1"";""Damage Type"":""bludgeoning""}]",,,10.0,Medium,,10.0,,0.0,,,,40 ft.,12.0,,0.0,,-4.0,,5.0,-3.0,10.0,11.0,,Unaligned,2.0,beast,1d8,,"[{""Name"":""Charge"";""Desc"":""If the goat moves at least 20 ft. straight toward a target and then hits it with a ram attack on the same turn; the target takes an extra 2 (1d4) bludgeoning damage. If the target is a creature; it must succeed on a DC 10 Strength saving throw or be knocked prone.""};{""Name"":""Sure-Footed"";""Desc"":""The goat has advantage on Strength and Dexterity saving throws made against effects that would knock it prone.""}]"
Hawk,,Any,MM,330.0,MM330,,,-3.0,0,3.0,,14.0,,,1.0,14.0,"[{""Name"":""Talons"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""5"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d1"";""Damage Type"":""slashing""}]",,,10.0,Tiny,,13.0,,-1.0,,Perception +4,,10 ft.; fly 60 ft.,5.0,,2.0,,-4.0,,6.0,-2.0,16.0,8.0,,Unaligned,2.0,beast,1d4-1,,"[{""Name"":""Keen Sight"";""Desc"":""The hawk has advantage on Wisdom (Perception) checks that rely on sight.""}]"
Homunculus,,Urban,MM,188.0,MM188,Y,Natural Armor,-3.0,0,2.0,,10.0,,,5.0,10.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""4"";""Reach"":""5 ft."";""Target"":""one creature"";""Damage"":""1d1"";""Damage Type"":""piercing"";""Desc"":""The target must succeed on a dc 10 constitution saving throw or be poisoned for 1 minute If the saving throw fails by 5 or more; the target is instead poisoned for 5 (1d10) minutes and unconscious while poisoned in this way""}]",,Understands The Languages Of Its Creator But Can't Speak,10.0,Tiny,,13.0,,0.0,Darkvision 60 Ft.,,,20 ft.; fly 40 ft.,4.0,Poison,0.0,,0.0,Charmed; Poisoned,7.0,-2.0,15.0,11.0,,Neutral,10.0,construct,2d4,,"[{""Name"":""Telepathic Bond"";""Desc"":""While the homunculus is on the same plane of existence as its master; it can magically convey what it senses to its master; and the two can communicate telepathically.""}]"
Hyena,,Desert; Forest; Grassland; Hills,MM,331.0,MM331,,,0.0,0,1.0,,12.0,,,5.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""2"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d6"";""Damage Type"":""piercing""}]",,,10.0,Medium,,11.0,,1.0,,Perception +3,,50 ft.,11.0,,1.0,,-4.0,,5.0,-3.0,13.0,12.0,,Unaligned,2.0,beast,1d8+1,,"[{""Name"":""Pack Tactics"";""Desc"":""The hyena has advantage on an attack roll against a creature if at least one of the hyena's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
Jackal,,Desert; Grassland,MM,331.0,MM331,,,-1.0,0,2.0,,12.0,,,3.0,13.0,"[{""Name"":""Bite"";""Type Attack"":""Weapon Attack"";""Type"":""Melee"";""Hit Bonus"":""1"";""Reach"":""5 ft."";""Target"":""one target"";""Damage"":""1d4 - 1"";""Damage Type"":""piercing""}]",,,10.0,Small,,12.0,,0.0,,Perception +3,,40 ft.,8.0,,1.0,,-4.0,,6.0,-2.0,15.0,11.0,,Unaligned,3.0,beast,1d6,,"[{""Name"":""Keen Hearing and Smell"";""Desc"":""The jackal has advantage on Wisdom (Perception) checks that rely on hearing or smell.""};{""Name"":""Pack Tactics"";""Desc"":""The jackal has advantage on an attack roll against a creature if at least one of the jackal's allies is within 5 ft. of the creature and the ally isn't incapacitated.""}]"
